# Time, source_counts, err, filter, rotor, phase, airmass,rotangle, rotskypa, exptime, seeing, moon_frac, moon_dist
57304.018564,121620.9,112.8851,E,6,0.73854785628,1.298366,0.6298,-320.52,7.02312,4.622368,0.130775,94.176673
57304.018564,124671,114.3209,E,7,0.73854785628,1.298366,0.6298,-320.52,7.02312,4.41812,0.130775,94.176673
57304.018564,125509.6,114.6811,E,8,0.73854785628,1.298366,0.6298,-320.52,7.02312,4.556139,0.130775,94.176673
57304.019437,123146.7,111.2979,E,1,0.73858080465,1.296182,1.0216,-320.47,7.31625,4.475748,0.1307,94.184948
57304.019437,121779.8,110.6842,E,2,0.73858080465,1.296182,1.0216,-320.47,7.31625,4.108318,0.1307,94.184948
57304.019437,124352.5,114.1063,E,3,0.73858080465,1.296182,1.0216,-320.47,7.0236,4.450261,0.1307,94.184948
57304.019437,123531.7,113.7422,E,4,0.73858080465,1.296182,1.0216,-320.47,7.0236,4.401769,0.1307,94.184948
57304.019437,121418.1,112.7751,E,5,0.73858080465,1.296182,1.0216,-320.47,7.0236,4.475335,0.1307,94.184948
